moves, guesses, result, moves, guesses, result, moves, guesses, result
9, 4, lost, 28, 3, lost, 26, 1, won, 
5, 4, lost, 116, 0, won, 36, 0, won, 
164, 4, lost, 99, 1, won, 34, 1, won, 
3, 2, lost, 123, 0, won, 24, 1, won, 
158, 8, lost, 110, 1, won, 30, 0, won, 
3, 2, lost, 109, 3, lost, 28, 0, won, 
57, 2, lost, 111, 4, lost, 24, 3, won, 
2, 1, lost, 79, 2, lost, 36, 3, won, 
4, 3, lost, 103, 3, lost, 21, 0, won, 
3, 2, lost, 125, 4, won, 18, 1, won, 
51, 4, lost, 103, 3, lost, 26, 0, won, 
47, 1, lost, 4, 3, lost, 32, 1, won, 
6, 4, lost, 5, 4, lost, 28, 3, won, 
6, 5, lost, 127, 2, won, 26, 4, won, 
78, 1, lost, 2, 1, lost, 31, 1, won, 
11, 6, lost, 145, 0, won, 26, 2, lost, 
2, 1, lost, 73, 2, lost, 32, 1, won, 
4, 3, lost, 85, 3, lost, 28, 4, lost, 
132, 9, lost, 2, 1, lost, 37, 1, won, 
73, 4, lost, 82, 2, lost, 20, 2, won, 
12, 4, lost, 9, 5, lost, 34, 0, won, 
78, 2, lost, 132, 5, won, 6, 5, lost, 
3, 2, lost, 120, 2, won, 29, 2, won, 
33, 3, lost, 123, 1, won, 4, 3, lost, 
92, 8, lost, 120, 3, won, 10, 1, lost, 
3, 2, lost, 118, 3, won, 23, 0, won, 
304, 4, won, 7, 5, lost, 2, 1, lost, 
4, 2, lost, 3, 1, lost, 4, 1, lost, 
10, 1, lost, 3, 2, lost, 32, 1, won, 
6, 5, lost, 5, 4, lost, 15, 2, lost, 
140, 1, lost, 5, 4, lost, 20, 4, lost, 
2, 1, lost, 2, 1, lost, 3, 2, lost, 
260, 10, lost, 131, 7, won, 39, 2, won, 
27, 5, lost, 72, 2, lost, 18, 4, lost, 
11, 1, lost, 111, 1, lost, 33, 0, won, 
135, 7, lost, 3, 2, lost, 34, 2, won, 
3, 2, lost, 129, 0, won, 37, 3, won, 
2, 1, lost, 106, 1, won, 35, 4, lost, 
32, 5, lost, 2, 1, lost, 33, 2, won, 
2, 1, lost, 95, 1, won, 12, 4, lost, 
71, 4, lost, 153, 1, won, 30, 1, won, 
2, 1, lost, 4, 3, lost, 22, 0, won, 
3, 2, lost, 27, 5, lost, 3, 2, lost, 
5, 2, lost, 112, 2, won, 12, 1, lost, 
14, 2, lost, 87, 3, lost, 30, 1, won, 
119, 4, lost, 8, 2, lost, 30, 0, won, 
4, 3, lost, 119, 1, lost, 5, 4, lost, 
3, 2, lost, 127, 2, lost, 38, 0, won, 
8, 6, lost, 5, 3, lost, 17, 1, won, 
3, 2, lost, 142, 2, lost, 25, 2, lost, 
34, 3, lost, 5, 4, lost, 26, 0, won, 
164, 2, lost, 100, 2, won, 35, 2, lost, 
4, 3, lost, 2, 1, lost, 3, 2, lost, 
49, 6, lost, 38, 3, lost, 22, 2, lost, 
2, 1, lost, 135, 2, lost, 9, 8, lost, 
287, 6, won, 108, 2, lost, 37, 3, won, 
263, 4, lost, 5, 1, lost, 34, 0, won, 
255, 5, lost, 2, 1, lost, 34, 4, won, 
12, 3, lost, 4, 3, lost, 34, 1, won, 
233, 4, lost, 9, 5, lost, 43, 2, won, 
269, 3, lost, 133, 3, lost, 36, 0, won, 
4, 3, lost, 13, 4, lost, 7, 5, lost, 
6, 3, lost, 135, 1, won, 17, 0, won, 
7, 1, lost, 104, 1, won, 30, 2, won, 
3, 2, lost, 2, 1, lost, 7, 6, lost, 
6, 3, lost, 3, 2, lost, 28, 3, won, 
28, 6, lost, 108, 2, lost, 26, 2, won, 
33, 4, lost, 132, 1, won, 26, 2, won, 
7, 4, lost, 3, 2, lost, 29, 0, won, 
159, 4, lost, 2, 1, lost, 39, 0, won, 
165, 11, lost, 6, 3, lost, 28, 2, won, 
4, 2, lost, 5, 4, lost, 32, 2, won, 
231, 7, lost, 103, 6, lost, 2, 1, lost, 
12, 7, lost, 121, 1, won, 41, 0, won, 
34, 2, lost, 3, 2, lost, 37, 2, won, 
7, 3, lost, 121, 1, won, 26, 1, won, 
17, 5, lost, 3, 2, lost, 26, 4, lost, 
174, 14, lost, 5, 4, lost, 31, 1, won, 
116, 9, lost, 98, 3, won, 43, 0, won, 
3, 2, lost, 5, 4, lost, 28, 1, won, 
103, 3, lost, 12, 1, lost, 24, 2, won, 
186, 7, lost, 6, 3, lost, 29, 0, won, 
2, 1, lost, 5, 4, lost, 31, 1, won, 
20, 5, lost, 101, 2, lost, 2, 1, lost, 
27, 6, lost, 106, 3, won, 24, 1, won, 
5, 4, lost, 123, 3, lost, 25, 4, lost, 
3, 2, lost, 108, 1, won, 27, 0, won, 
22, 8, lost, 117, 4, won, 32, 0, won, 
2, 1, lost, 109, 4, lost, 11, 7, lost, 
2, 1, lost, 127, 5, won, 29, 0, won, 
108, 6, lost, 96, 2, lost, 24, 3, won, 
3, 2, lost, 5, 4, lost, 16, 2, won, 
95, 4, lost, 2, 1, lost, 17, 5, lost, 
2, 1, lost, 6, 5, lost, 23, 0, won, 
11, 1, lost, 73, 6, lost, 33, 0, won, 
3, 2, lost, 128, 1, won, 34, 0, won, 
274, 9, lost, 2, 1, lost, 31, 0, won, 
286, 8, lost, 3, 2, lost, 29, 0, won, 
3, 2, lost, 2, 1, lost, 30, 0, won, 
4, 3, lost, 10, 9, lost, 30, 0, won, 
9, 5, lost, 2, 1, lost, 25, 2, won, 
19, 7, lost, 2, 1, lost, 24, 1, lost, 
169, 12, lost, 9, 1, lost, 24, 3, lost, 
7, 1, lost, 110, 2, lost, 38, 0, won, 
18, 5, lost, 39, 3, lost, 38, 1, won, 
2, 1, lost, 142, 3, won, 29, 2, won, 
2, 1, lost, 108, 1, won, 25, 1, lost, 
124, 12, lost, 133, 1, won, 13, 1, lost, 
3, 2, lost, 2, 1, lost, 30, 5, won, 
11, 9, lost, 114, 3, won, 34, 0, won, 
97, 1, lost, 112, 3, lost, 22, 3, lost, 
5, 4, lost, 101, 2, lost, 2, 1, lost, 
20, 3, lost, 96, 3, lost, 28, 1, won, 
6, 5, lost, 142, 0, won, 37, 0, won, 
3, 2, lost, 89, 3, lost, 21, 2, won, 
2, 1, lost, 109, 3, lost, 28, 0, won, 
7, 4, lost, 100, 4, lost, 39, 2, won, 
5, 4, lost, 129, 5, lost, 22, 1, won, 
11, 2, lost, 3, 1, lost, 28, 0, won, 
285, 6, lost, 147, 8, won, 30, 1, won, 
31, 3, lost, 112, 1, won, 25, 2, won, 
36, 5, lost, 2, 1, lost, 37, 1, won, 
2, 1, lost, 129, 0, won, 36, 0, won, 
19, 4, lost, 23, 4, lost, 4, 3, lost, 
7, 4, lost, 99, 3, won, 18, 1, lost, 
214, 1, lost, 121, 3, lost, 13, 4, lost, 
18, 2, lost, 102, 1, won, 3, 1, lost, 
4, 3, lost, 93, 3, won, 15, 4, lost, 
22, 6, lost, 135, 1, won, 28, 2, won, 
70, 5, lost, 123, 1, won, 22, 1, won, 
90, 2, lost, 83, 4, lost, 29, 1, won, 
50, 3, lost, 116, 4, lost, 27, 3, won, 
13, 4, lost, 4, 1, lost, 29, 3, won, 
19, 5, lost, 70, 3, lost, 8, 4, lost, 
2, 1, lost, 112, 2, won, 28, 6, won, 
2, 1, lost, 118, 4, lost, 22, 0, won, 
74, 3, lost, 123, 1, lost, 24, 2, won, 
5, 4, lost, 4, 3, lost, 26, 1, won, 
9, 4, lost, 115, 8, won, 33, 2, won, 
2, 1, lost, 102, 3, lost, 2, 1, lost, 
26, 4, lost, 116, 7, won, 27, 4, lost, 
7, 2, lost, 88, 4, lost, 3, 2, lost, 
122, 5, lost, 32, 5, lost, 26, 0, won, 
100, 4, lost, 2, 1, lost, 5, 2, lost, 
12, 10, lost, 96, 1, lost, 2, 1, lost, 
3, 2, lost, 135, 2, won, 3, 2, lost, 
9, 5, lost, 3, 2, lost, 33, 1, won, 
9, 2, lost, 91, 4, lost, 23, 1, won, 
8, 5, lost, 4, 3, lost, 29, 1, won, 
3, 2, lost, 6, 5, lost, 26, 0, won, 
3, 2, lost, 106, 2, lost, 29, 2, won, 
18, 6, lost, 118, 4, won, 23, 3, won, 
47, 1, lost, 100, 2, lost, 30, 0, won, 
257, 4, lost, 97, 5, lost, 7, 4, lost, 
113, 4, lost, 111, 1, won, 20, 1, won, 
11, 1, lost, 112, 0, won, 41, 0, won, 
2, 1, lost, 122, 1, won, 43, 0, won, 
27, 4, lost, 85, 2, lost, 29, 1, won, 
126, 12, lost, 138, 1, won, 8, 4, lost, 
282, 5, lost, 117, 3, won, 27, 2, won, 
4, 3, lost, 126, 3, won, 2, 1, lost, 
2, 1, lost, 119, 4, won, 28, 0, won, 
6, 3, lost, 15, 2, lost, 18, 1, won, 
3, 2, lost, 7, 2, lost, 23, 0, won, 
196, 9, lost, 2, 1, lost, 5, 4, lost, 
9, 2, lost, 123, 4, won, 31, 1, won, 
8, 3, lost, 63, 5, lost, 27, 2, won, 
31, 7, lost, 105, 1, won, 28, 0, won, 
4, 3, lost, 152, 5, won, 33, 0, won, 
20, 4, lost, 125, 3, won, 2, 1, lost, 
288, 6, lost, 53, 3, lost, 33, 3, won, 
102, 4, lost, 156, 1, won, 33, 2, won, 
8, 4, lost, 113, 3, won, 25, 2, won, 
210, 2, lost, 123, 7, lost, 26, 0, won, 
4, 3, lost, 141, 1, won, 31, 4, won, 
22, 5, lost, 8, 4, lost, 26, 0, won, 
2, 1, lost, 8, 4, lost, 27, 1, won, 
168, 6, lost, 102, 6, lost, 23, 0, won, 
67, 2, lost, 108, 6, lost, 28, 0, won, 
5, 3, lost, 2, 1, lost, 30, 0, won, 
14, 4, lost, 109, 5, won, 15, 7, lost, 
3, 2, lost, 117, 2, lost, 22, 0, won, 
2, 1, lost, 20, 6, lost, 30, 0, won, 
3, 2, lost, 16, 3, lost, 29, 1, won, 
5, 4, lost, 117, 4, lost, 24, 0, won, 
12, 4, lost, 5, 4, lost, 31, 3, won, 
4, 3, lost, 109, 3, won, 21, 0, won, 
55, 6, lost, 114, 1, lost, 47, 2, won, 
3, 2, lost, 99, 3, lost, 30, 3, won, 
28, 1, lost, 85, 2, lost, 13, 0, won, 
2, 1, lost, 104, 5, won, 16, 3, lost, 
279, 5, won, 107, 1, won, 25, 3, lost, 
41, 4, lost, 140, 0, won, 7, 4, lost, 
17, 2, lost, 94, 4, won, 29, 2, won, 
23, 7, lost, 108, 2, lost, 25, 1, won, 
31, 7, lost, 5, 4, lost, 24, 0, won, 
85, 1, lost, 122, 4, won, 38, 0, won, 
19, 5, lost, 2, 1, lost, 9, 5, lost, 
257, 9, lost, 93, 1, lost, 28, 1, won, 
2, 1, lost, 112, 4, lost, 2, 1, lost, 
18, 3, lost, 10, 4, lost, 26, 1, won, 
4, 3, lost, 3, 1, lost, 30, 0, won, 
7, 4, lost, 6, 2, lost, 18, 4, lost, 
76, 3, lost, 91, 1, lost, 32, 1, won, 
2, 1, lost, 103, 1, won, 37, 0, won, 
3, 2, lost, 5, 4, lost, 5, 4, lost, 
188, 1, lost, 6, 4, lost, 28, 0, won, 
2, 1, lost, 2, 1, lost, 35, 1, won, 
11, 1, lost, 109, 0, won, 36, 2, won, 
258, 9, lost, 110, 3, won, 19, 0, won, 
40, 3, lost, 117, 2, won, 27, 0, won, 
179, 7, lost, 122, 1, won, 36, 3, won, 
3, 2, lost, 105, 6, lost, 31, 0, won, 
6, 4, lost, 130, 5, won, 29, 1, won, 
3, 2, lost, 11, 7, lost, 7, 3, lost, 
2, 1, lost, 2, 1, lost, 18, 2, lost, 
20, 5, lost, 14, 2, lost, 26, 2, won, 
46, 3, lost, 8, 3, lost, 29, 2, won, 
93, 3, lost, 2, 1, lost, 26, 0, won, 
3, 2, lost, 118, 4, won, 23, 1, won, 
5, 4, lost, 118, 0, won, 2, 1, lost, 
5, 4, lost, 121, 3, lost, 30, 0, won, 
5, 4, lost, 84, 0, won, 31, 3, won, 
5, 4, lost, 128, 4, lost, 30, 0, won, 
5, 4, lost, 105, 5, lost, 28, 2, won, 
2, 1, lost, 5, 4, lost, 5, 4, lost, 
3, 2, lost, 129, 4, won, 3, 2, lost, 
11, 3, lost, 9, 6, lost, 6, 2, lost, 
2, 1, lost, 11, 7, lost, 31, 2, won, 
3, 2, lost, 22, 4, lost, 2, 1, lost, 
19, 2, lost, 90, 0, won, 32, 1, won, 
3, 2, lost, 5, 4, lost, 39, 0, won, 
160, 3, lost, 98, 3, lost, 2, 1, lost, 
7, 1, lost, 16, 3, lost, 3, 2, lost, 
55, 2, lost, 6, 3, lost, 23, 2, won, 
47, 5, lost, 113, 4, lost, 4, 1, lost, 
14, 4, lost, 55, 6, lost, 27, 2, won, 
5, 4, lost, 96, 7, lost, 26, 3, won, 
4, 3, lost, 119, 2, won, 24, 1, won, 
180, 4, lost, 112, 6, lost, 22, 1, won, 
4, 3, lost, 9, 2, lost, 24, 0, won, 
5, 2, lost, 84, 4, lost, 27, 2, won, 
163, 6, lost, 9, 4, lost, 30, 3, won, 
2, 1, lost, 101, 6, won, 34, 2, won, 
139, 6, lost, 7, 4, lost, 16, 0, won, 
25, 7, lost, 117, 4, won, 38, 0, won, 
32, 3, lost, 129, 0, won, 27, 5, won, 
7, 3, lost, 36, 3, lost, 18, 1, won, 
3, 2, lost, 111, 3, lost, 35, 0, won, 
2, 1, lost, 103, 3, lost, 25, 1, lost, 
4, 2, lost, 139, 2, won, 33, 4, won, 
3, 2, lost, 131, 3, lost, 31, 0, won, 
10, 6, lost, 110, 7, won, 38, 1, won, 
4, 3, lost, 3, 2, lost, 28, 3, won, 
10, 6, lost, 109, 0, won, 2, 1, lost, 
14, 4, lost, 4, 3, lost, 35, 2, won, 
5, 4, lost, 109, 0, won, 34, 0, won, 
168, 4, lost, 115, 8, lost, 31, 1, won, 
2, 1, lost, 125, 0, won, 17, 0, won, 
4, 3, lost, 11, 6, lost, 35, 2, won, 
83, 5, lost, 91, 3, lost, 31, 2, won, 
132, 4, lost, 101, 4, lost, 21, 1, won, 
9, 3, lost, 124, 2, lost, 30, 0, won, 
9, 4, lost, 130, 3, won, 24, 0, won, 
2, 1, lost, 59, 4, lost, 23, 1, won, 
17, 1, lost, 130, 4, lost, 38, 0, won, 
24, 5, lost, 8, 3, lost, 13, 1, lost, 
6, 2, lost, 104, 2, lost, 2, 1, lost, 
44, 10, lost, 20, 3, lost, 31, 3, won, 
294, 4, lost, 121, 1, won, 5, 4, lost, 
23, 5, lost, 30, 10, lost, 38, 1, won, 
27, 6, lost, 118, 4, won, 23, 1, won, 
238, 2, lost, 122, 3, won, 35, 0, won, 
46, 5, lost, 5, 2, lost, 28, 0, won, 
5, 4, lost, 6, 5, lost, 18, 2, won, 
15, 4, lost, 127, 1, won, 37, 2, won, 
65, 2, lost, 115, 2, won, 2, 1, lost, 
8, 4, lost, 124, 0, won, 33, 0, won, 
7, 4, lost, 102, 2, won, 36, 3, won, 
6, 5, lost, 34, 3, lost, 26, 1, won, 
259, 6, lost, 6, 2, lost, 31, 2, won, 
7, 6, lost, 111, 2, won, 7, 3, lost, 
14, 5, lost, 130, 6, won, 17, 0, won, 
14, 3, lost, 101, 2, won, 3, 2, lost, 
2, 1, lost, 14, 5, lost, 33, 1, won, 
22, 4, lost, 124, 3, won, 28, 4, lost, 
156, 8, lost, 123, 6, won, 29, 0, won, 
6, 5, lost, 65, 3, lost, 29, 2, won, 
8, 4, lost, 7, 1, lost, 27, 2, won, 
55, 6, lost, 110, 6, lost, 22, 0, won, 
3, 2, lost, 123, 3, won, 31, 3, won, 
320, 6, lost, 147, 0, won, 24, 1, won, 
3, 2, lost, 4, 3, lost, 26, 0, won, 
17, 5, lost, 100, 1, won, 6, 5, lost, 
12, 3, lost, 114, 2, won, 29, 2, won, 
50, 3, lost, 140, 2, won, 31, 1, won, 
27, 1, lost, 78, 4, lost, 28, 3, won, 
166, 2, lost, 103, 7, lost, 25, 3, lost, 
7, 1, lost, 4, 3, lost, 2, 1, lost, 
60, 10, lost, 135, 3, lost, 20, 3, lost, 
334, 10, lost, 2, 1, lost, 2, 1, lost, 
2, 1, lost, 134, 4, won, 21, 1, won, 
13, 5, lost, 93, 3, lost, 17, 0, won, 
29, 5, lost, 99, 3, lost, 2, 1, lost, 
5, 4, lost, 84, 3, lost, 26, 0, won, 
51, 10, lost, 134, 2, won, 3, 2, lost, 
2, 1, lost, 3, 2, lost, 28, 1, won, 
10, 5, lost, 8, 4, lost, 29, 2, won, 
94, 5, lost, 41, 2, lost, 21, 0, won, 
143, 6, lost, 122, 2, won, 35, 3, won, 
2, 1, lost, 142, 1, won, 27, 0, won, 
9, 5, lost, 113, 0, won, 25, 0, won, 
5, 3, lost, 90, 7, lost, 42, 2, won, 
135, 3, lost, 53, 1, lost, 26, 0, won, 
2, 1, lost, 117, 3, lost, 41, 0, won, 
30, 6, lost, 123, 3, lost, 39, 1, won, 
127, 5, lost, 115, 2, lost, 25, 0, won, 
2, 1, lost, 93, 3, lost, 2, 1, lost, 
2, 1, lost, 107, 3, won, 23, 0, won, 
219, 5, lost, 3, 2, lost, 40, 0, won, 
5, 4, lost, 7, 6, lost, 6, 5, lost, 
10, 7, lost, 90, 1, won, 25, 2, won, 
11, 3, lost, 8, 3, lost, 28, 2, won, 
13, 2, lost, 3, 2, lost, 2, 1, lost, 
220, 2, lost, 103, 3, won, 27, 1, won, 
90, 3, lost, 134, 3, won, 20, 1, lost, 
47, 2, lost, 3, 2, lost, 30, 3, won, 
19, 1, lost, 80, 3, lost, 28, 1, won, 
223, 2, lost, 116, 4, lost, 3, 2, lost, 
2, 1, lost, 109, 3, won, 30, 0, won, 
2, 1, lost, 116, 1, won, 29, 2, won, 
4, 3, lost, 119, 3, won, 29, 1, won, 
10, 4, lost, 97, 3, lost, 28, 2, won, 
2, 1, lost, 118, 1, won, 32, 4, won, 
2, 1, lost, 3, 2, lost, 36, 2, lost, 
7, 6, lost, 26, 6, lost, 43, 0, won, 
24, 4, lost, 4, 1, lost, 36, 2, lost, 
5, 1, lost, 13, 2, lost, 2, 1, lost, 
2, 1, lost, 4, 3, lost, 36, 0, won, 
3, 2, lost, 121, 5, won, 17, 1, won, 
132, 5, lost, 146, 3, won, 36, 3, won, 
26, 5, lost, 103, 3, won, 32, 0, won, 
135, 5, lost, 5, 4, lost, 2, 1, lost, 
5, 4, lost, 7, 4, lost, 28, 0, won, 
3, 2, lost, 112, 3, won, 22, 0, won, 
85, 2, lost, 109, 0, won, 27, 5, won, 
5, 4, lost, 130, 2, won, 23, 4, lost, 
3, 2, lost, 123, 2, won, 29, 2, won, 
65, 5, lost, 127, 2, won, 7, 5, lost, 
37, 7, lost, 116, 2, lost, 44, 0, won, 
4, 3, lost, 115, 2, won, 30, 0, won, 
150, 4, lost, 84, 2, lost, 4, 3, lost, 
151, 3, lost, 5, 4, lost, 34, 3, won, 
3, 2, lost, 2, 1, lost, 26, 3, won, 
185, 2, lost, 133, 2, lost, 6, 2, lost, 
50, 4, lost, 142, 3, won, 5, 4, lost, 
2, 1, lost, 92, 2, won, 16, 1, won, 
45, 10, lost, 9, 8, lost, 30, 2, won, 
44, 10, lost, 102, 0, won, 36, 1, won, 
194, 5, lost, 13, 4, lost, 26, 3, won, 
4, 3, lost, 71, 4, lost, 26, 1, won, 
89, 11, lost, 103, 3, lost, 29, 7, won, 
4, 3, lost, 101, 3, lost, 18, 5, lost, 
3, 2, lost, 119, 3, won, 36, 4, won, 
6, 5, lost, 132, 1, won, 24, 2, won, 
21, 9, lost, 143, 2, won, 30, 0, won, 
2, 1, lost, 109, 3, lost, 22, 0, won, 
3, 2, lost, 122, 3, won, 32, 0, won, 
54, 2, lost, 40, 5, lost, 10, 6, lost, 
78, 4, lost, 110, 3, lost, 2, 1, lost, 
8, 4, lost, 128, 1, won, 25, 1, won, 
145, 6, lost, 9, 3, lost, 24, 3, won, 
66, 4, lost, 125, 5, won, 31, 3, won, 
4, 3, lost, 4, 3, lost, 28, 1, won, 
301, 3, won, 134, 3, won, 33, 0, won, 
53, 4, lost, 87, 4, lost, 34, 2, won, 
276, 4, lost, 120, 3, won, 26, 0, won, 
217, 3, lost, 81, 3, lost, 40, 0, won, 
5, 2, lost, 127, 2, won, 24, 0, won, 
3, 2, lost, 2, 1, lost, 26, 1, won, 
3, 2, lost, 146, 3, won, 33, 11, won, 
128, 6, lost, 83, 2, lost, 24, 0, won, 
59, 4, lost, 19, 8, lost, 21, 1, won, 
74, 3, lost, 7, 4, lost, 20, 0, won, 
14, 7, lost, 121, 0, won, 37, 0, won, 
301, 3, lost, 118, 4, lost, 31, 1, won, 
7, 5, lost, 98, 2, lost, 29, 4, won, 
15, 6, lost, 121, 1, won, 28, 2, won, 
2, 1, lost, 102, 3, lost, 30, 1, won, 
195, 3, lost, 108, 0, won, 34, 0, won, 
16, 1, lost, 130, 1, won, 26, 1, won, 
78, 3, lost, 120, 3, won, 38, 0, won, 
2, 1, lost, 103, 2, won, 22, 1, won, 
9, 2, lost, 132, 1, won, 35, 1, won, 
17, 1, lost, 9, 5, lost, 8, 7, lost, 
21, 4, lost, 130, 11, won, 21, 1, won, 
71, 5, lost, 97, 4, lost, 29, 2, won, 
2, 1, lost, 3, 2, lost, 19, 1, won, 
15, 5, lost, 93, 4, lost, 31, 0, won, 
3, 2, lost, 122, 1, won, 26, 0, won, 
124, 6, lost, 137, 2, lost, 26, 0, won, 
3, 2, lost, 125, 0, won, 13, 1, won, 
253, 1, lost, 13, 4, lost, 28, 0, won, 
244, 6, lost, 110, 0, won, 34, 0, won, 
5, 4, lost, 5, 4, lost, 24, 1, won, 
5, 4, lost, 22, 5, lost, 21, 0, won, 
301, 3, won, 2, 1, lost, 35, 0, won, 
67, 5, lost, 2, 1, lost, 22, 0, won, 
2, 1, lost, 129, 3, won, 30, 3, won, 
2, 1, lost, 133, 1, won, 20, 0, won, 
213, 7, lost, 64, 5, lost, 23, 1, won, 
4, 3, lost, 106, 0, won, 33, 0, won, 
11, 1, lost, 106, 1, lost, 34, 0, won, 
2, 1, lost, 155, 2, won, 32, 0, won, 
85, 5, lost, 117, 1, won, 32, 2, won, 
164, 4, lost, 106, 3, lost, 41, 1, won, 
53, 4, lost, 94, 6, lost, 20, 1, won, 
140, 5, lost, 133, 4, won, 39, 3, won, 
2, 1, lost, 139, 7, won, 2, 1, lost, 
33, 3, lost, 4, 3, lost, 6, 4, lost, 
112, 6, lost, 125, 2, won, 20, 0, won, 
80, 2, lost, 128, 0, won, 37, 1, won, 
5, 4, lost, 4, 3, lost, 3, 2, lost, 
48, 2, lost, 105, 2, won, 8, 1, lost, 
82, 1, lost, 121, 1, won, 17, 4, lost, 
5, 4, lost, 102, 4, won, 26, 0, won, 
161, 10, lost, 2, 1, lost, 5, 4, lost, 
2, 1, lost, 116, 3, won, 2, 1, lost, 
73, 2, lost, 33, 3, lost, 22, 4, lost, 
5, 4, lost, 2, 1, lost, 35, 2, won, 
2, 1, lost, 134, 2, won, 27, 2, won, 
28, 4, lost, 6, 2, lost, 27, 5, won, 
2, 1, lost, 2, 1, lost, 2, 1, lost, 
59, 4, lost, 77, 3, lost, 28, 0, won, 
5, 4, lost, 107, 1, lost, 27, 3, won, 
2, 1, lost, 122, 3, won, 21, 1, won, 
269, 3, lost, 49, 5, lost, 27, 2, won, 
58, 5, lost, 5, 4, lost, 19, 0, won, 
3, 1, lost, 128, 0, won, 16, 1, won, 
61, 3, lost, 86, 2, won, 32, 5, won, 
8, 3, lost, 2, 1, lost, 33, 3, lost, 
6, 5, lost, 135, 1, won, 34, 1, won, 
18, 1, lost, 2, 1, lost, 32, 3, won, 
4, 3, lost, 19, 5, lost, 30, 1, lost, 
3, 2, lost, 5, 4, lost, 47, 0, won, 
8, 3, lost, 95, 4, lost, 38, 2, won, 
12, 1, lost, 121, 3, won, 10, 1, lost, 
3, 2, lost, 89, 5, lost, 36, 1, won, 
16, 6, lost, 2, 1, lost, 30, 0, won, 
9, 3, lost, 133, 2, won, 28, 0, won, 
124, 4, lost, 99, 4, lost, 22, 0, won, 
65, 4, lost, 119, 6, won, 2, 1, lost, 
204, 7, lost, 129, 5, won, 33, 1, won, 
249, 13, lost, 110, 2, won, 29, 0, won, 
5, 4, lost, 92, 5, lost, 7, 6, lost, 
6, 5, lost, 74, 5, lost, 20, 1, lost, 
37, 5, lost, 112, 2, won, 30, 0, won, 
150, 17, lost, 98, 3, lost, 36, 2, won, 
6, 5, lost, 6, 5, lost, 29, 0, won, 
11, 2, lost, 110, 4, lost, 31, 0, won, 
4, 2, lost, 136, 0, won, 27, 1, won, 
255, 5, lost, 113, 0, won, 36, 1, won, 
2, 1, lost, 114, 2, lost, 30, 0, won, 
85, 4, lost, 10, 6, lost, 35, 2, won, 
2, 1, lost, 74, 4, lost, 27, 1, won, 
2, 1, lost, 16, 3, lost, 35, 0, won, 
68, 7, lost, 57, 6, lost, 42, 0, won, 
5, 4, lost, 52, 1, lost, 41, 6, won, 
29, 7, lost, 7, 6, lost, 4, 3, lost, 
133, 8, lost, 134, 2, won, 25, 0, won, 
6, 5, lost, 6, 2, lost, 21, 1, won, 
12, 5, lost, 2, 1, lost, 22, 1, won, 
14, 1, lost, 81, 4, lost, 24, 3, won, 
5, 4, lost, 114, 2, won, 21, 1, won, 
151, 5, lost, 100, 1, won, 28, 2, won, 
209, 1, lost, 131, 8, won, 34, 2, won, 
2, 1, lost, 9, 8, lost, 37, 0, won, 
2, 1, lost, 134, 0, won, 34, 0, won, 
5, 2, lost, 137, 1, lost, 4, 3, lost, 
6, 3, lost, 115, 2, won, 26, 1, won, 
252, 1, lost, 142, 4, won, 25, 0, won, 
6, 3, lost, 8, 3, lost, 35, 0, won, 
2, 1, lost, 2, 1, lost, 3, 2, lost, 
76, 2, lost, 124, 0, won, 33, 0, won, 
6, 3, lost, 148, 2, won, 25, 5, lost, 
8, 5, lost, 127, 0, won, 28, 2, won, 
4, 3, lost, 93, 2, lost, 20, 0, won, 
38, 4, lost, 109, 3, lost, 6, 2, lost, 
5, 1, lost, 128, 5, won, 30, 3, won, 
2, 1, lost, 7, 3, lost, 25, 2, won, 
203, 3, lost, 125, 2, won, 34, 4, won, 
2, 1, lost, 116, 3, lost, 6, 5, lost, 
2, 1, lost, 2, 1, lost, 5, 4, lost, 
170, 3, lost, 95, 2, lost, 27, 1, won, 
2, 1, lost, 2, 1, lost, 12, 4, lost, 
134, 5, lost, 17, 8, lost, 38, 1, won, 
5, 4, lost, 127, 4, won, 24, 2, lost, 
8, 3, lost, 3, 2, lost, 30, 4, won, 
9, 7, lost, 38, 7, lost, 26, 0, won, 
22, 2, lost, 11, 1, lost, 6, 4, lost, 
7, 4, lost, 104, 0, won, 43, 4, won, 
7, 5, lost, 2, 1, lost, 31, 0, won, 
77, 6, lost, 98, 2, lost, 5, 4, lost, 
2, 1, lost, 99, 1, lost, 24, 3, won, 
182, 6, lost, 119, 6, lost, 27, 3, won, 
6, 2, lost, 120, 3, won, 42, 3, won, 
27, 5, lost, 2, 1, lost, 27, 3, won, 
21, 2, lost, 127, 3, won, 24, 4, lost, 
4, 3, lost, 7, 4, lost, 21, 1, won, 
124, 5, lost, 144, 5, won, 18, 1, won, 
7, 3, lost, 2, 1, lost, 2, 1, lost, 
12, 2, lost, 90, 3, lost, 32, 2, won, 
2, 1, lost, 121, 3, won, 26, 1, won, 
73, 2, lost, 129, 5, won, 21, 1, won, 
9, 6, lost, 3, 2, lost, 23, 0, won, 
109, 5, lost, 120, 0, won, 28, 5, won, 
78, 2, lost, 2, 1, lost, 6, 5, lost, 
3, 2, lost, 101, 3, won, 30, 0, won, 
19, 1, lost, 113, 1, won, 33, 2, won, 
3, 2, lost, 105, 0, won, 27, 2, lost, 
