moves, guesses, result, moves, guesses, result, moves, guesses, result
8, 4, lost, 137, 0, won, 32, 3, lost, 
180, 3, lost, 61, 2, lost, 27, 2, won, 
10, 2, lost, 129, 2, lost, 23, 0, won, 
13, 3, lost, 107, 2, lost, 33, 2, won, 
5, 4, lost, 100, 2, lost, 29, 2, won, 
91, 4, lost, 116, 2, won, 20, 3, won, 
12, 3, lost, 121, 1, won, 21, 3, lost, 
6, 5, lost, 111, 4, won, 2, 1, lost, 
16, 1, lost, 2, 1, lost, 18, 1, won, 
6, 3, lost, 130, 5, won, 25, 1, won, 
17, 5, lost, 5, 4, lost, 16, 3, lost, 
11, 2, lost, 24, 5, lost, 32, 0, won, 
6, 5, lost, 89, 1, lost, 31, 3, won, 
78, 5, lost, 113, 3, won, 11, 3, lost, 
103, 4, lost, 134, 3, lost, 33, 5, won, 
3, 2, lost, 2, 1, lost, 30, 0, won, 
9, 4, lost, 104, 3, lost, 26, 1, won, 
11, 6, lost, 11, 4, lost, 36, 0, won, 
5, 3, lost, 91, 4, lost, 32, 0, won, 
18, 1, lost, 126, 6, won, 25, 1, won, 
109, 4, lost, 93, 3, lost, 24, 3, lost, 
2, 1, lost, 54, 4, lost, 29, 1, won, 
3, 2, lost, 5, 4, lost, 2, 1, lost, 
101, 3, lost, 108, 0, won, 32, 0, won, 
17, 2, lost, 4, 3, lost, 32, 2, won, 
10, 4, lost, 115, 0, won, 41, 1, won, 
3, 2, lost, 18, 2, lost, 19, 0, won, 
30, 2, lost, 113, 4, won, 31, 0, won, 
19, 5, lost, 21, 4, lost, 3, 2, lost, 
163, 3, lost, 85, 4, lost, 28, 2, won, 
259, 4, lost, 105, 3, won, 18, 0, won, 
3, 2, lost, 3, 2, lost, 33, 1, won, 
3, 2, lost, 3, 2, lost, 29, 0, won, 
211, 18, lost, 127, 8, won, 12, 3, lost, 
22, 2, lost, 123, 1, lost, 22, 2, won, 
177, 4, lost, 115, 3, won, 38, 0, won, 
148, 2, lost, 68, 3, lost, 30, 2, won, 
212, 7, lost, 112, 4, lost, 29, 0, won, 
8, 7, lost, 111, 2, lost, 9, 3, lost, 
65, 12, lost, 109, 0, won, 25, 0, won, 
2, 1, lost, 102, 3, lost, 37, 0, won, 
135, 2, lost, 5, 4, lost, 31, 2, won, 
11, 3, lost, 117, 2, won, 26, 0, won, 
8, 2, lost, 3, 2, lost, 6, 4, lost, 
4, 2, lost, 5, 4, lost, 32, 1, won, 
6, 5, lost, 76, 4, lost, 23, 1, won, 
3, 2, lost, 120, 1, won, 34, 3, won, 
21, 5, lost, 119, 4, won, 39, 0, won, 
6, 5, lost, 8, 4, lost, 32, 1, won, 
75, 5, lost, 107, 3, won, 25, 1, won, 
8, 4, lost, 109, 5, lost, 30, 0, won, 
3, 2, lost, 114, 3, won, 27, 2, won, 
166, 7, lost, 114, 0, won, 28, 0, won, 
22, 1, lost, 127, 2, won, 20, 0, won, 
5, 4, lost, 39, 10, lost, 26, 3, lost, 
2, 1, lost, 124, 4, lost, 45, 1, won, 
23, 6, lost, 2, 1, lost, 22, 0, won, 
311, 3, lost, 124, 0, won, 24, 1, won, 
49, 8, lost, 10, 2, lost, 24, 1, won, 
2, 1, lost, 97, 3, lost, 36, 0, won, 
68, 2, lost, 15, 4, lost, 33, 3, won, 
7, 1, lost, 117, 3, lost, 29, 1, won, 
4, 3, lost, 3, 2, lost, 31, 3, won, 
75, 2, lost, 114, 2, lost, 4, 1, lost, 
17, 4, lost, 40, 4, lost, 2, 1, lost, 
12, 5, lost, 118, 0, won, 30, 1, won, 
16, 3, lost, 136, 2, won, 21, 0, won, 
81, 3, lost, 3, 2, lost, 3, 2, lost, 
8, 7, lost, 7, 5, lost, 22, 2, lost, 
5, 4, lost, 57, 2, lost, 19, 3, lost, 
8, 5, lost, 133, 6, won, 31, 0, won, 
5, 4, lost, 27, 4, lost, 27, 7, won, 
4, 3, lost, 10, 5, lost, 6, 2, lost, 
5, 4, lost, 126, 4, won, 35, 2, won, 
11, 5, lost, 5, 4, lost, 19, 0, won, 
56, 5, lost, 122, 9, lost, 2, 1, lost, 
27, 6, lost, 124, 1, won, 32, 3, won, 
216, 5, lost, 40, 3, lost, 21, 2, lost, 
10, 4, lost, 118, 2, won, 27, 0, won, 
31, 4, lost, 128, 1, won, 21, 0, won, 
27, 6, lost, 96, 2, lost, 22, 0, won, 
270, 3, lost, 39, 4, lost, 20, 2, won, 
155, 9, lost, 110, 1, won, 19, 1, won, 
252, 1, lost, 7, 2, lost, 24, 1, won, 
108, 3, lost, 99, 2, lost, 36, 0, won, 
193, 5, lost, 3, 2, lost, 19, 0, won, 
6, 5, lost, 108, 5, won, 12, 3, lost, 
30, 6, lost, 152, 6, won, 29, 1, won, 
